n_jobs,seq,threading,processing
1,0.019802196000455297,0.04304840999975568,0.11543443400023534
2,0.019802196000455297,0.045423024999763584,0.11792076899928361
3,0.019802196000455297,0.05744902700007515,0.12476110399984464
4,0.019802196000455297,0.05808590200012986,0.1102998309997929
5,0.019802196000455297,0.0589784289995805,0.1078188269993916
6,0.019802196000455297,0.058634168000025966,0.11315398199985793
7,0.019802196000455297,0.05543790899992018,0.10185582699978113
8,0.019802196000455297,0.05385878099968977,0.1330705480004326
9,0.019802196000455297,0.05394690899993293,0.11752569500004029
10,0.019802196000455297,0.05551112700049998,0.11096085700046388
11,0.019802196000455297,0.05639541399978043,0.1056729460005954
12,0.019802196000455297,0.053771530000631174,0.10598290900088614
13,0.019802196000455297,0.05421602500064182,0.10748027299996465
14,0.019802196000455297,0.05402494400004798,0.10667688099965744
15,0.019802196000455297,0.05508880499928637,0.10796452800059342
16,0.019802196000455297,0.05302514100003464,0.11924422300035076
